Patient	cluster_id	sample_id	cellular_prevalence	cellular_prevalence_std	upper_95CI	lower_95CI	clonal
Patient452	9	Primary-v5	0.1266	0.0063	0.1392	0.114	FALSE
Patient452	9	Primary-v6	0	0	0	0	FALSE
Patient452	9	Primary-v7	0	0	0	0	FALSE
Patient452	9	Primary-v8	0	0	0	0	FALSE
Patient452	9	Primary-v9	0	0	0	0	FALSE
Patient452	10	Primary-v1	0	0	0	0	FALSE
Patient452	10	Primary-v10	0	0	0	0	FALSE
Patient452	10	Primary-v2	0	0	0	0	FALSE
Patient452	10	Primary-v3	0	0	0	0	FALSE
Patient452	10	Primary-v4	0	4e-04	8e-04	-8e-04	FALSE
Patient452	10	Primary-v5	0	0	0	0	FALSE
Patient452	10	Primary-v6	0	0	0	0	FALSE
Patient452	10	Primary-v7	0.0442	0.0049	0.054	0.0344	FALSE
Patient452	10	Primary-v8	0.0703	0.0028	0.0759	0.0647	FALSE
Patient452	10	Primary-v9	0.0792	0.0044	0.088	0.0704	FALSE
Patient452	11	Primary-v1	0.6436	0.0051	0.6538	0.6334	FALSE
Patient452	11	Primary-v10	0.7766	0.0073	0.7912	0.762	FALSE
Patient452	11	Primary-v2	0.9144	0.0075	0.9294	0.8994	FALSE
Patient452	11	Primary-v3	0.8829	0.0072	0.8973	0.8685	FALSE
Patient452	11	Primary-v4	0.8309	0.0064	0.8437	0.8181	FALSE
Patient452	11	Primary-v5	0.8931	0.0071	0.9073	0.8789	FALSE
Patient452	11	Primary-v6	0.704	0.0063	0.7166	0.6914	FALSE
Patient452	11	Primary-v7	0.667	0.0055	0.678	0.656	FALSE
Patient452	11	Primary-v8	0.8431	0.0072	0.8575	0.8287	FALSE
Patient452	11	Primary-v9	0.7659	0.0072	0.7803	0.7515	FALSE
Patient452	12	Primary-v1	0.5497	0.0116	0.5729	0.5265	FALSE
Patient452	12	Primary-v10	0	0	0	0	FALSE
Patient452	12	Primary-v2	0	0	0	0	FALSE
Patient452	12	Primary-v3	0	0	0	0	FALSE
Patient452	12	Primary-v4	0	0	0	0	FALSE
Patient452	12	Primary-v5	0	0	0	0	FALSE
Patient452	12	Primary-v6	0.0251	0.0051	0.0353	0.0149	FALSE
Patient452	12	Primary-v7	0	0	0	0	FALSE
Patient452	12	Primary-v8	0	0	0	0	FALSE
Patient452	12	Primary-v9	0.0099	0.0015	0.0129	0.0069	FALSE
Patient452	13	Primary-v1	0	0	0	0	FALSE
Patient452	13	Primary-v10	0.741	0.0098	0.7606	0.7214	FALSE
Patient452	13	Primary-v2	0	0	0	0	FALSE
Patient452	13	Primary-v3	0	0	0	0	FALSE
Patient452	13	Primary-v4	0	0	0	0	FALSE
Patient452	13	Primary-v5	0	0	0	0	FALSE
Patient452	13	Primary-v6	0	0	0	0	FALSE
Patient452	13	Primary-v7	0	0	0	0	FALSE
Patient452	13	Primary-v8	0	0	0	0	FALSE
Patient452	13	Primary-v9	0	0	0	0	FALSE
Patient260	1	Recurrence1-v1	0	7e-04	0.0014	-0.0014	FALSE
Patient260	1	Recurrence1-v10	0	6e-04	0.0012	-0.0012	FALSE
Patient260	1	Recurrence1-v11	0.1567	0.0175	0.1917	0.1217	FALSE
Patient260	1	Recurrence1-v12	0.7885	0.0414	0.8713	0.7057	FALSE
Patient260	1	Recurrence1-v13	0.8147	0.0291	0.8729	0.7565	FALSE
Patient260	1	Recurrence1-v14	0.8419	0.0298	0.9015	0.7823	FALSE
Patient260	1	Recurrence1-v15	0.3221	0.0328	0.3877	0.2565	FALSE
Patient260	1	Recurrence1-v16	0.1003	0.0191	0.1385	0.0621	FALSE
Patient260	1	Recurrence1-v17	0.0887	0.0166	0.1219	0.0555	FALSE
Patient260	1	Recurrence1-v18	0.8727	0.0294	0.9315	0.8139	FALSE
Patient260	1	Recurrence1-v19	0.8261	0.0388	0.9037	0.7485	FALSE
Patient260	1	Recurrence1-v2	0	7e-04	0.0014	-0.0014	FALSE
Patient260	1	Recurrence1-v20	0.4083	0.0341	0.4765	0.3401	FALSE
Patient260	1	Recurrence1-v3	3e-04	0.0017	0.0037	-0.0031	FALSE
Patient260	1	Recurrence1-v4	0	7e-04	0.0014	-0.0014	FALSE
Patient260	1	Recurrence1-v5	0	7e-04	0.0014	-0.0014	FALSE
Patient260	1	Recurrence1-v6	0	6e-04	0.0012	-0.0012	FALSE
Patient260	1	Recurrence1-v7	0	5e-04	0.001	-0.001	FALSE
Patient260	1	Recurrence1-v8	1e-04	0.0011	0.0023	-0.0021	FALSE
Patient260	1	Recurrence1-v9	0	5e-04	0.001	-0.001	FALSE
Patient260	2	Recurrence1-v1	0.7068	0.0321	0.771	0.6426	TRUE
Patient260	2	Recurrence1-v10	0.8669	0.03	0.9269	0.8069	TRUE
Patient260	2	Recurrence1-v11	0.2923	0.0236	0.3395	0.2451	TRUE
Patient260	2	Recurrence1-v12	0.9538	0.0167	0.9872	0.9204	TRUE
Patient260	2	Recurrence1-v13	0.959	0.013	0.985	0.933	TRUE
Patient260	2	Recurrence1-v14	0.9775	0.0113	1.0001	0.9549	TRUE
Patient260	2	Recurrence1-v15	0.5524	0.028	0.6084	0.4964	TRUE
Patient260	2	Recurrence1-v16	0.525	0.0268	0.5786	0.4714	TRUE
Patient260	2	Recurrence1-v17	0.3812	0.0278	0.4368	0.3256	TRUE
Patient260	2	Recurrence1-v18	0.962	0.0155	0.993	0.931	TRUE
Patient260	2	Recurrence1-v19	0.7536	0.0237	0.801	0.7062	TRUE
Patient260	2	Recurrence1-v2	0.8489	0.0305	0.9099	0.7879	TRUE
Patient260	2	Recurrence1-v20	0.5948	0.0274	0.6496	0.54	TRUE
Patient260	2	Recurrence1-v3	0.8583	0.0242	0.9067	0.8099	TRUE
Patient260	2	Recurrence1-v4	0.7522	0.0337	0.8196	0.6848	TRUE
Patient260	2	Recurrence1-v5	0.7578	0.031	0.8198	0.6958	TRUE
Patient260	2	Recurrence1-v6	0.8793	0.027	0.9333	0.8253	TRUE
Patient260	2	Recurrence1-v7	0.8161	0.0351	0.8863	0.7459	TRUE
Patient260	2	Recurrence1-v8	0.8485	0.0289	0.9063	0.7907	TRUE
Patient260	2	Recurrence1-v9	0.8982	0.0236	0.9454	0.851	TRUE
Patient260	3	Recurrence1-v1	0.0682	0.0299	0.128	0.0084	FALSE
Patient260	3	Recurrence1-v10	0.0568	0.0277	0.1122	0.00140000000000001	FALSE
Patient260	3	Recurrence1-v11	0.106	0.0355	0.177	0.035	FALSE
Patient260	3	Recurrence1-v12	0.0579	0.0261	0.1101	0.0057	FALSE
Patient260	3	Recurrence1-v13	0.0557	0.0247	0.1051	0.0063	FALSE
Patient260	3	Recurrence1-v14	0.0593	0.0252	0.1097	0.0089	FALSE
Patient260	3	Recurrence1-v15	0.0555	0.0259	0.1073	0.0037	FALSE
Patient260	3	Recurrence1-v16	0.0988	0.035	0.1688	0.0288	FALSE
Patient260	3	Recurrence1-v17	0.0695	0.0315	0.1325	0.00650000000000001	FALSE
Patient260	3	Recurrence1-v18	0.0478	0.0233	0.0944	0.0012	FALSE
Patient260	3	Recurrence1-v19	0.0453	0.0232	0.0917	-0.0011	FALSE
Patient260	3	Recurrence1-v2	0.1858	0.0513	0.2884	0.0832	FALSE
Patient260	3	Recurrence1-v20	0.1275	0.0418	0.2111	0.0439	FALSE
Patient260	3	Recurrence1-v3	0.1148	0.0388	0.1924	0.0372	FALSE
Patient260	3	Recurrence1-v4	0.1244	0.0417	0.2078	0.041	FALSE
Patient260	3	Recurrence1-v5	0.087	0.0343	0.1556	0.0184	FALSE
Patient260	3	Recurrence1-v6	0.1293	0.0422	0.2137	0.0449	FALSE
Patient260	3	Recurrence1-v7	0.1861	0.0511	0.2883	0.0839	FALSE
Patient260	3	Recurrence1-v8	0.1823	0.034	0.2503	0.1143	FALSE
Patient260	3	Recurrence1-v9	0.1824	0.0509	0.2842	0.0806	FALSE
Patient260	4	Recurrence1-v1	0.0135	0.0177	0.0489	-0.0219	FALSE
Patient260	4	Recurrence1-v10	0.0165	0.0208	0.0581	-0.0251	FALSE
Patient260	4	Recurrence1-v11	0.0108	0.015	0.0408	-0.0192	FALSE
Patient260	4	Recurrence1-v12	0.7606	0.0957	0.952	0.5692	FALSE
Patient260	4	Recurrence1-v13	0.6621	0.0677	0.7975	0.5267	FALSE
Patient260	4	Recurrence1-v14	0.4056	0.0617	0.529	0.2822	FALSE
Patient260	4	Recurrence1-v15	0.2288	0.0556	0.34	0.1176	FALSE
Patient260	4	Recurrence1-v16	0.0494	0.0272	0.1038	-0.005	FALSE
Patient260	4	Recurrence1-v17	0.0165	0.0207	0.0579	-0.0249	FALSE
Patient260	4	Recurrence1-v18	0.4969	0.075	0.6469	0.3469	FALSE
Patient260	4	Recurrence1-v19	0.3062	0.0555	0.4172	0.1952	FALSE
Patient260	4	Recurrence1-v2	0.0154	0.0197	0.0548	-0.024	FALSE
Patient260	4	Recurrence1-v20	0.1955	0.0577	0.3109	0.0801	FALSE
Patient260	4	Recurrence1-v3	0.0135	0.0177	0.0489	-0.0219	FALSE
Patient260	4	Recurrence1-v4	0.0119	0.0161	0.0441	-0.0203	FALSE
Patient260	4	Recurrence1-v5	0.0134	0.0176	0.0486	-0.0218	FALSE
Patient260	4	Recurrence1-v6	0.0139	0.0182	0.0503	-0.0225	FALSE
Patient260	4	Recurrence1-v7	0.0087	0.0127	0.0341	-0.0167	FALSE
Patient260	4	Recurrence1-v8	0.0104	0.0145	0.0394	-0.0186	FALSE
Patient260	4	Recurrence1-v9	0.0105	0.0146	0.0397	-0.0187	FALSE
Patient260	5	Recurrence1-v1	0.0015	0.0039	0.0093	-0.0063	FALSE
Patient260	5	Recurrence1-v10	0.0052	0.0062	0.0176	-0.0072	FALSE
Patient260	5	Recurrence1-v11	0.0312	0.0127	0.0566	0.0058	FALSE
Patient260	5	Recurrence1-v12	0.0843	0.0177	0.1197	0.0489	FALSE
Patient260	5	Recurrence1-v13	0.054	0.0141	0.0822	0.0258	FALSE
Patient260	5	Recurrence1-v14	0.0788	0.0182	0.1152	0.0424	FALSE
Patient260	5	Recurrence1-v15	0.096	0.0172	0.1304	0.0616	FALSE
Patient260	5	Recurrence1-v16	0.012	0.0056	0.0232	8e-04	FALSE
Patient260	5	Recurrence1-v17	0.0092	0.0069	0.023	-0.0046	FALSE
Patient260	5	Recurrence1-v18	0.0166	0.0079	0.0324	0.000799999999999999	FALSE
Patient260	5	Recurrence1-v19	0.0717	0.0181	0.1079	0.0355	FALSE
Patient260	5	Recurrence1-v2	3e-04	0.0019	0.0041	-0.0035	FALSE
Patient260	5	Recurrence1-v20	0.0484	0.0127	0.0738	0.023	FALSE
Patient260	5	Recurrence1-v3	0.0019	0.0043	0.0105	-0.0067	FALSE
Patient260	5	Recurrence1-v4	0.0059	0.0062	0.0183	-0.0065	FALSE
Patient260	5	Recurrence1-v5	0.0117	0.0064	0.0245	-0.0011	FALSE
Patient260	5	Recurrence1-v6	0.0012	0.0035	0.0082	-0.0058	FALSE
Patient260	5	Recurrence1-v7	7e-04	0.0026	0.0059	-0.0045	FALSE
Patient260	5	Recurrence1-v8	0.0027	0.0049	0.0125	-0.0071	FALSE
Patient260	5	Recurrence1-v9	0.001	0.0031	0.0072	-0.0052	FALSE
Patient260	6	Recurrence1-v1	0.2972	0.0635	0.4242	0.1702	FALSE
Patient260	6	Recurrence1-v10	0.3671	0.0745	0.5161	0.2181	FALSE
Patient260	6	Recurrence1-v11	0.3485	0.0661	0.4807	0.2163	FALSE
Patient260	6	Recurrence1-v12	0.2384	0.0572	0.3528	0.124	FALSE
Patient260	6	Recurrence1-v13	0.2579	0.0507	0.3593	0.1565	FALSE
Patient260	6	Recurrence1-v14	0.2476	0.0533	0.3542	0.141	FALSE
Patient260	6	Recurrence1-v15	0.264	0.0565	0.377	0.151	FALSE
Patient260	6	Recurrence1-v16	0.2808	0.0619	0.4046	0.157	FALSE
Patient260	6	Recurrence1-v17	0.2313	0.0636	0.3585	0.1041	FALSE
Patient260	6	Recurrence1-v18	0.336	0.0604	0.4568	0.2152	FALSE
Patient260	6	Recurrence1-v19	0.1596	0.0546	0.2688	0.0504	FALSE
Patient260	6	Recurrence1-v2	0.2807	0.0669	0.4145	0.1469	FALSE
Patient260	6	Recurrence1-v20	0.3304	0.0648	0.46	0.2008	FALSE
Patient260	6	Recurrence1-v3	0.2977	0.0664	0.4305	0.1649	FALSE
Patient260	6	Recurrence1-v4	0.4109	0.0738	0.5585	0.2633	FALSE
Patient260	6	Recurrence1-v5	0.2975	0.0635	0.4245	0.1705	FALSE
Patient260	6	Recurrence1-v6	0.2195	0.0587	0.3369	0.1021	FALSE
Patient260	6	Recurrence1-v7	0.2318	0.0567	0.3452	0.1184	FALSE
Patient260	6	Recurrence1-v8	0.235	0.0586	0.3522	0.1178	FALSE
Patient260	6	Recurrence1-v9	0.3058	0.0631	0.432	0.1796	FALSE
Patient260	7	Recurrence1-v1	0.819	0.0679	0.9548	0.6832	FALSE
Patient260	7	Recurrence1-v10	0.8328	0.0682	0.9692	0.6964	FALSE
Patient260	7	Recurrence1-v11	0.089	0.0294	0.1478	0.0302	FALSE
Patient260	7	Recurrence1-v12	1e-04	0.0013	0.0027	-0.0025	FALSE
Patient260	7	Recurrence1-v13	1e-04	0.0013	0.0027	-0.0025	FALSE
Patient260	7	Recurrence1-v14	1e-04	0.0011	0.0023	-0.0021	FALSE
Patient260	7	Recurrence1-v15	0.1694	0.0299	0.2292	0.1096	FALSE
Patient260	7	Recurrence1-v16	0.3919	0.0511	0.4941	0.2897	FALSE
Patient260	7	Recurrence1-v17	0.2307	0.0471	0.3249	0.1365	FALSE
Patient260	7	Recurrence1-v18	4e-04	0.0023	0.005	-0.0042	FALSE
Patient260	7	Recurrence1-v19	0.004	0.0081	0.0202	-0.0122	FALSE
Patient260	7	Recurrence1-v2	0.7293	0.0534	0.8361	0.6225	FALSE
Patient260	7	Recurrence1-v20	0.2416	0.046	0.3336	0.1496	FALSE
Patient260	7	Recurrence1-v3	0.6996	0.0507	0.801	0.5982	FALSE
Patient260	7	Recurrence1-v4	0.663	0.0619	0.7868	0.5392	FALSE
Patient260	7	Recurrence1-v5	0.6169	0.0647	0.7463	0.4875	FALSE
Patient260	7	Recurrence1-v6	0.7913	0.0407	0.8727	0.7099	FALSE
Patient260	7	Recurrence1-v7	0.7108	0.0445	0.7998	0.6218	FALSE
Patient260	7	Recurrence1-v8	0.6983	0.0619	0.8221	0.5745	FALSE
Patient260	7	Recurrence1-v9	0.8113	0.0421	0.8955	0.7271	FALSE
Patient260	8	Recurrence1-v1	0.2684	0.0816	0.4316	0.1052	FALSE
Patient260	8	Recurrence1-v10	0.4129	0.0987	0.6103	0.2155	FALSE
Patient260	8	Recurrence1-v11	0.1161	0.0449	0.2059	0.0263	FALSE
Patient260	8	Recurrence1-v12	0.5842	0.1841	0.9524	0.216	FALSE
Patient260	8	Recurrence1-v13	0.7264	0.2366	1.1996	0.2532	FALSE
Patient260	8	Recurrence1-v14	0.5311	0.0963	0.7237	0.3385	FALSE
Patient260	8	Recurrence1-v15	0.3778	0.0755	0.5288	0.2268	FALSE
Patient260	8	Recurrence1-v16	0.2064	0.0595	0.3254	0.0874	FALSE
Patient260	8	Recurrence1-v17	0.05	0.0316	0.1132	-0.0132	FALSE
Patient260	8	Recurrence1-v18	0.3685	0.0939	0.5563	0.1807	FALSE
Patient260	8	Recurrence1-v19	0.4821	0.098	0.6781	0.2861	FALSE
Patient260	8	Recurrence1-v2	0.5731	0.0952	0.7635	0.3827	FALSE
Patient260	8	Recurrence1-v20	0.5128	0.0902	0.6932	0.3324	FALSE
Patient260	8	Recurrence1-v3	0.3656	0.0945	0.5546	0.1766	FALSE
Patient260	8	Recurrence1-v4	0.2647	0.0812	0.4271	0.1023	FALSE
Patient260	8	Recurrence1-v5	0.2936	0.0855	0.4646	0.1226	FALSE
Patient260	8	Recurrence1-v6	0.3558	0.0924	0.5406	0.171	FALSE
Patient260	8	Recurrence1-v7	0.361	0.0917	0.5444	0.1776	FALSE
Patient260	8	Recurrence1-v8	0.4387	0.0963	0.6313	0.2461	FALSE
Patient260	8	Recurrence1-v9	0.374	0.0939	0.5618	0.1862	FALSE
Patient260	9	Recurrence1-v1	0.6341	0.0492	0.7325	0.5357	FALSE
Patient260	9	Recurrence1-v10	0.8412	0.0324	0.906	0.7764	FALSE
Patient260	9	Recurrence1-v11	0.2054	0.03	0.2654	0.1454	FALSE
Patient260	9	Recurrence1-v12	0.7086	0.0302	0.769	0.6482	FALSE
Patient260	9	Recurrence1-v13	0.6485	0.0299	0.7083	0.5887	FALSE
Patient260	9	Recurrence1-v14	0.669	0.0259	0.7208	0.6172	FALSE
Patient260	9	Recurrence1-v15	0.6085	0.0437	0.6959	0.5211	FALSE
Patient260	9	Recurrence1-v16	0.4302	0.0395	0.5092	0.3512	FALSE
Patient260	9	Recurrence1-v17	0.3082	0.0398	0.3878	0.2286	FALSE
Patient260	9	Recurrence1-v18	0.7892	0.0325	0.8542	0.7242	FALSE
Patient260	9	Recurrence1-v19	0.6888	0.0312	0.7512	0.6264	FALSE
Patient260	9	Recurrence1-v2	0.8354	0.0505	0.9364	0.7344	FALSE
Patient260	9	Recurrence1-v20	0.5849	0.0485	0.6819	0.4879	FALSE
Patient260	9	Recurrence1-v3	0.7108	0.0366	0.784	0.6376	FALSE
Patient260	9	Recurrence1-v4	0.7409	0.038	0.8169	0.6649	FALSE
Patient260	9	Recurrence1-v5	0.6503	0.0412	0.7327	0.5679	FALSE
Patient260	9	Recurrence1-v6	0.7671	0.0336	0.8343	0.6999	FALSE
Patient260	9	Recurrence1-v7	0.7708	0.0316	0.834	0.7076	FALSE
Patient260	9	Recurrence1-v8	0.8324	0.0297	0.8918	0.773	FALSE
Patient260	9	Recurrence1-v9	0.7818	0.032	0.8458	0.7178	FALSE
Patient260	10	Recurrence1-v1	2e-04	0.0015	0.0032	-0.0028	FALSE
Patient260	10	Recurrence1-v10	0	4e-04	8e-04	-8e-04	FALSE
Patient260	10	Recurrence1-v11	0	2e-04	4e-04	-4e-04	FALSE
Patient260	10	Recurrence1-v12	1e-04	7e-04	0.0015	-0.0013	FALSE
Patient260	10	Recurrence1-v13	0.0034	0.0048	0.013	-0.0062	FALSE
Patient260	10	Recurrence1-v14	0	1e-04	2e-04	-2e-04	FALSE
Patient260	10	Recurrence1-v15	0	1e-04	2e-04	-2e-04	FALSE
Patient260	10	Recurrence1-v16	0.0037	0.0049	0.0135	-0.0061	FALSE
Patient260	10	Recurrence1-v17	0.0457	0.012	0.0697	0.0217	FALSE
Patient260	10	Recurrence1-v18	4e-04	0.002	0.0044	-0.0036	FALSE
Patient260	10	Recurrence1-v19	0.0096	0.003	0.0156	0.0036	FALSE
Patient260	10	Recurrence1-v2	0.0107	0.0054	0.0215	-0.000100000000000001	FALSE
Patient260	10	Recurrence1-v20	0	6e-04	0.0012	-0.0012	FALSE
Patient260	10	Recurrence1-v3	0	3e-04	6e-04	-6e-04	FALSE
Patient260	10	Recurrence1-v4	8e-04	0.0028	0.0064	-0.0048	FALSE
Patient260	10	Recurrence1-v5	2e-04	0.0014	0.003	-0.0026	FALSE
Patient260	10	Recurrence1-v6	0	3e-04	6e-04	-6e-04	FALSE
Patient260	10	Recurrence1-v7	0	1e-04	2e-04	-2e-04	FALSE
Patient260	10	Recurrence1-v8	1e-04	8e-04	0.0017	-0.0015	FALSE
Patient260	10	Recurrence1-v9	0	2e-04	4e-04	-4e-04	FALSE
Patient475	1	Primary-v1	0.2751	0.0239	0.3229	0.2273	FALSE
Patient475	1	Primary-v2	0.0028	0.0047	0.0122	-0.0066	FALSE
Patient475	1	Primary-v3	0.0125	0.0051	0.0227	0.0023	FALSE
Patient475	1	Primary-v5	0.0122	0.0044	0.021	0.0034	FALSE
Patient475	1	Primary-v6	0.0016	0.0038	0.0092	-0.006	FALSE
Patient475	1	Primary-v7	0	5e-04	0.001	-0.001	FALSE
Patient475	1	Primary-v8	1e-04	0.001	0.0021	-0.0019	FALSE
Patient475	2	Primary-v1	0.5	0.0199	0.5398	0.4602	FALSE
Patient475	2	Primary-v2	0.9048	0.0537	1.0122	0.7974	FALSE
Patient475	2	Primary-v3	0.868	0.0664	1.0008	0.7352	FALSE
Patient475	2	Primary-v5	0.6132	0.025	0.6632	0.5632	FALSE
Patient475	2	Primary-v6	0.5124	0.1603	0.833	0.1918	FALSE
Patient475	2	Primary-v7	0.028	0.0061	0.0402	0.0158	FALSE
Patient475	2	Primary-v8	0.12	0.0122	0.1444	0.0956	FALSE
Patient475	3	Primary-v1	0.8134	0.0201	0.8536	0.7732	FALSE
Patient475	3	Primary-v2	0.8441	0.0425	0.9291	0.7591	FALSE
Patient475	3	Primary-v3	0.6919	0.0466	0.7851	0.5987	FALSE
Patient475	3	Primary-v5	0.4926	0.0219	0.5364	0.4488	FALSE
Patient475	3	Primary-v6	0.4017	0.0601	0.5219	0.2815	FALSE
Patient475	3	Primary-v7	0.0108	0.0025	0.0158	0.0058	FALSE
Patient475	3	Primary-v8	0.0627	0.0082	0.0791	0.0463	FALSE
Patient475	4	Primary-v1	0.3976	0.032	0.4616	0.3336	FALSE
Patient475	4	Primary-v2	0.6074	0.1602	0.9278	0.287	FALSE
Patient475	4	Primary-v3	0.4428	0.1781	0.799	0.0866	FALSE
Patient475	4	Primary-v5	0.3014	0.039	0.3794	0.2234	FALSE
Patient475	4	Primary-v6	0.2807	0.0783	0.4373	0.1241	FALSE
Patient475	4	Primary-v7	0.0298	0.0112	0.0522	0.0074	FALSE
Patient475	4	Primary-v8	0.0763	0.0178	0.1119	0.0407	FALSE
Patient475	5	Primary-v1	3e-04	0.0018	0.0039	-0.0033	FALSE
Patient475	5	Primary-v2	0.6732	0.1105	0.8942	0.4522	FALSE
Patient475	5	Primary-v3	0.1513	0.0459	0.2431	0.0595	FALSE
Patient475	5	Primary-v5	0.0756	0.0131	0.1018	0.0494	FALSE
Patient475	5	Primary-v6	0.1659	0.0318	0.2295	0.1023	FALSE
Patient475	5	Primary-v7	1e-04	9e-04	0.0019	-0.0017	FALSE
Patient475	5	Primary-v8	0.0099	0.0025	0.0149	0.0049	FALSE
Patient475	6	Primary-v1	0.9575	0.0082	0.9739	0.9411	TRUE
Patient475	6	Primary-v2	0.9576	0.0096	0.9768	0.9384	TRUE
Patient475	6	Primary-v3	0.9408	0.0099	0.9606	0.921	TRUE
Patient475	6	Primary-v5	0.7068	0.0242	0.7552	0.6584	TRUE
Patient475	6	Primary-v6	0.3545	0.044	0.4425	0.2665	TRUE
Patient475	6	Primary-v7	0.031	0.0034	0.0378	0.0242	TRUE
Patient475	6	Primary-v8	0.1051	0.0078	0.1207	0.0895	TRUE
Patient475	7	Primary-v1	2e-04	0.0015	0.0032	-0.0028	FALSE
Patient475	7	Primary-v2	0.0578	0.0129	0.0836	0.032	FALSE
Patient475	7	Primary-v3	0.0408	0.0108	0.0624	0.0192	FALSE
Patient475	7	Primary-v5	0.0979	0.0155	0.1289	0.0669	FALSE
Patient475	7	Primary-v6	0.0044	0.0054	0.0152	-0.0064	FALSE
Patient475	7	Primary-v7	1e-04	0.0011	0.0023	-0.0021	FALSE
Patient475	7	Primary-v8	8e-04	0.0027	0.0062	-0.0046	FALSE
Patient481	1	Recurrence-v1	9e-04	0.0029	0.0067	-0.0049	FALSE
Patient481	1	Recurrence-v10	0.0135	0.006	0.0255	0.0015	FALSE
Patient481	1	Recurrence-v2	3e-04	0.0018	0.0039	-0.0033	FALSE
Patient481	1	Recurrence-v3	0.0265	0.0095	0.0455	0.0075	FALSE
Patient481	1	Recurrence-v4	0.0337	0.0099	0.0535	0.0139	FALSE
Patient481	1	Recurrence-v5	3e-04	0.0018	0.0039	-0.0033	FALSE
Patient481	1	Recurrence-v6	0.0139	0.007	0.0279	-0.000100000000000001	FALSE
Patient481	1	Recurrence-v7	0.0102	0.0039	0.018	0.0024	FALSE
Patient481	1	Recurrence-v8	0.0019	0.0042	0.0103	-0.0065	FALSE
Patient481	1	Recurrence-v9	0.0063	0.0059	0.0181	-0.0055	FALSE
Patient481	2	Recurrence-v1	0.0019	0.0047	0.0113	-0.0075	FALSE
Patient481	2	Recurrence-v10	0.002	0.0049	0.0118	-0.0078	FALSE
Patient481	2	Recurrence-v2	0.1498	0.0343	0.2184	0.0812	FALSE
Patient481	2	Recurrence-v3	0.011	0.0094	0.0298	-0.0078	FALSE
Patient481	2	Recurrence-v4	0.1717	0.0372	0.2461	0.0973	FALSE
Patient481	2	Recurrence-v5	0.1235	0.032	0.1875	0.0595	FALSE
Patient481	2	Recurrence-v6	0.0153	0.0111	0.0375	-0.0069	FALSE
Patient481	2	Recurrence-v7	0.0014	0.0041	0.0096	-0.0068	FALSE
Patient481	2	Recurrence-v8	0.4045	0.0518	0.5081	0.3009	FALSE
Patient481	2	Recurrence-v9	0.1994	0.0424	0.2842	0.1146	FALSE
Patient481	3	Recurrence-v1	0	0	0	0	TRUE
Patient481	3	Recurrence-v10	0	0	0	0	TRUE
Patient481	3	Recurrence-v2	0.3552	0.0095	0.3742	0.3362	TRUE
Patient481	3	Recurrence-v3	0.0301	0.0013	0.0327	0.0275	TRUE
Patient481	3	Recurrence-v4	0.5849	0.0111	0.6071	0.5627	TRUE
Patient481	3	Recurrence-v5	0.4282	0.0101	0.4484	0.408	TRUE
Patient481	3	Recurrence-v6	0.0406	0.0015	0.0436	0.0376	TRUE
Patient481	3	Recurrence-v7	0	0	0	0	TRUE
Patient481	3	Recurrence-v8	0.7292	0.0112	0.7516	0.7068	TRUE
Patient481	3	Recurrence-v9	0.6152	0.0113	0.6378	0.5926	TRUE
Patient482	1	Primary-v1	0.0354	0.0145	0.0644	0.0064	FALSE
Patient482	1	Primary-v10	0.6309	0.0477	0.7263	0.5355	FALSE
Patient482	1	Primary-v2	0.0104	0.0086	0.0276	-0.0068	FALSE
Patient482	1	Primary-v3	0.8355	0.0548	0.9451	0.7259	FALSE
Patient482	1	Primary-v4	0.8082	0.0574	0.923	0.6934	FALSE
Patient482	1	Primary-v5	0.5581	0.0482	0.6545	0.4617	FALSE
Patient482	1	Primary-v6	0.3866	0.0415	0.4696	0.3036	FALSE
Patient482	1	Primary-v7	0.8978	0.068	1.0338	0.7618	FALSE
Patient482	1	Primary-v8	0.6539	0.0333	0.7205	0.5873	FALSE
Patient482	1	Primary-v9	0.2787	0.0342	0.3471	0.2103	FALSE
Patient482	2	Primary-v1	0.4125	0.0233	0.4591	0.3659	TRUE
Patient482	2	Primary-v10	0.7908	0.0209	0.8326	0.749	TRUE
Patient482	2	Primary-v2	0.5673	0.0244	0.6161	0.5185	TRUE
Patient482	2	Primary-v3	0.6952	0.0206	0.7364	0.654	TRUE
Patient482	2	Primary-v4	0.7109	0.02	0.7509	0.6709	TRUE
Patient482	2	Primary-v5	0.6219	0.0227	0.6673	0.5765	TRUE
Patient482	2	Primary-v6	0.6296	0.0226	0.6748	0.5844	TRUE
Patient482	2	Primary-v7	0.67	0.0201	0.7102	0.6298	TRUE
Patient482	2	Primary-v8	0.8174	0.02	0.8574	0.7774	TRUE
Patient482	2	Primary-v9	0.6879	0.0213	0.7305	0.6453	TRUE
Patient482	3	Primary-v1	0	7e-04	0.0014	-0.0014	FALSE
Patient482	3	Primary-v10	0.0093	0.0041	0.0175	0.0011	FALSE
Patient482	3	Primary-v2	0.0563	0.0116	0.0795	0.0331	FALSE
Patient482	3	Primary-v3	1e-04	9e-04	0.0019	-0.0017	FALSE
Patient482	3	Primary-v4	0.0114	0.004	0.0194	0.0034	FALSE
Patient482	3	Primary-v5	0.0152	0.0069	0.029	0.0014	FALSE
Patient482	3	Primary-v6	0	6e-04	0.0012	-0.0012	FALSE
